ds,yhat,yhat_lower,yhat_upper
2020-12-06,338.8034439706795,264.73326953647813,411.52926661260256
2020-12-07,337.35936278266075,258.1018116699556,417.7581234074907
2020-12-08,337.0022592034898,261.2226153671785,408.44085052812505
2020-12-09,327.4893903534625,255.4195133378215,395.9087141208133
2020-12-10,326.1032293993416,249.8314746027542,395.9125162617046
2020-12-11,329.67514697714205,255.64664343734253,407.9490327277862
2020-12-12,327.33079656529577,254.5053412020823,395.9835704515922
2020-12-13,327.1851766876403,260.08731239030965,398.3661160550023
2020-12-14,323.0843938898379,251.92146385175994,401.66355017338947
2020-12-15,320.39637690739335,245.42154962558772,392.0059960027073
2020-12-16,308.9207443056122,233.7088756596035,382.72381807484135
2020-12-17,305.9752501278426,231.14428294996188,383.6721254025973
2020-12-18,308.4189206148047,230.17401319652404,379.81454584353895
2020-12-19,305.39702170685706,229.3439543966221,377.45261771436867
2020-12-20,305.0358339264142,228.89860062827665,378.90178794948577
2020-12-21,301.1842608000807,229.75116181188469,376.5859224069339
2020-12-22,299.2045220278707,223.79243738010138,377.91925961890684
2020-12-23,288.8821331109563,221.5202198710359,361.50706794856166
2020-12-24,287.51259409177607,215.52177088578512,370.53736751858946
2020-12-25,254.39154798542128,181.11149509397256,332.626972607933
2020-12-26,291.2269894174534,218.2844194020732,369.7910718746607
2020-12-27,293.50115860821234,216.6301116329302,370.531266983193
2020-12-28,292.54636604839925,218.23902079130016,368.63738448125304
2020-12-29,293.66976446978606,219.59580804687343,372.4089346554676
2020-12-30,286.5975957881358,213.62097647264872,356.1305087386513
2020-12-31,288.5628792402924,213.74901472384303,364.32982858956075
2021-01-01,296.32998730525355,218.7909095477524,369.7200202098536
2021-01-02,298.9412306046227,225.92628654743476,377.14625764255464
2021-01-03,304.41340716304285,231.71743855412842,372.8072238864706
2021-01-04,306.48131830625584,234.54043482922677,381.03916797902366
2021-01-05,310.39047593344526,235.91183844056877,379.73323933586147
2021-01-06,305.80917393280254,234.74128921384826,377.23415452612545
2021-01-07,309.9173151588879,235.61316039052318,383.06739849260373
2021-01-08,319.43207058622863,245.4676796849872,394.22445630162406
2021-01-09,323.3554708942166,245.73659006242858,398.21355904748566
2021-01-10,329.67186501173893,251.06157035743644,405.8510333089874
2021-01-11,332.0922275527418,253.87892874572063,406.79966674111273
