ds,y
2019-01-02,3373.3999999999996
2019-01-03,3403.699999999999
2019-01-04,3304.1
2019-01-05,3308.9
2019-01-06,3316.9
2019-01-07,3312.100000000001
2019-01-08,3196.9
2019-01-09,3058.6999999999994
2019-01-10,3151.4
2019-01-11,3074.8000000000006
2019-01-12,3237.5
2019-01-13,3260.4000000000005
2019-01-14,3261.5
2019-01-15,3173.499999999999
2019-01-16,3470.0
2019-01-17,3546.6000000000004
2019-01-18,3589.6000000000013
2019-01-19,3624.7000000000007
2019-01-20,3553.2999999999997
2019-01-21,3488.6000000000013
2019-01-22,3411.5000000000005
2019-01-23,3869.4999999999995
2019-01-24,3864.7
2019-01-25,3667.7999999999997
2019-01-26,3718.499999999999
2019-01-27,3620.6
2019-01-28,3638.4000000000005
2019-01-29,3569.800000000001
2019-01-30,2605.9
2019-01-31,2632.3
2019-02-02,2671.0
2019-02-03,2699.0000000000005
2019-02-04,2755.4000000000005
2019-02-05,2762.4
2019-02-06,2758.6000000000004
2019-02-07,2567.499999999999
2019-02-08,2686.6
2019-02-09,2785.6000000000004
2019-02-10,2883.8
2019-02-11,2928.3000000000006
2019-02-12,2940.7000000000003
2019-02-13,2843.8
2019-02-14,3163.000000000001
2019-02-15,3219.8
2019-02-16,3271.6999999999994
2019-02-17,3270.999999999999
2019-02-18,3263.4
2019-02-19,3259.0
2019-02-20,3166.1
2019-02-21,3943.8999999999996
2019-02-22,4041.7
2019-02-23,4045.499999999999
2019-02-24,4059.1
2019-02-25,4032.7999999999993
2019-02-26,3956.1000000000004
2019-02-27,3869.8000000000006
2019-02-28,3430.8
2019-03-02,3470.2
2019-03-03,3457.199999999999
2019-03-04,3473.999999999999
2019-03-05,3502.2000000000003
2019-03-06,3447.2999999999997
2019-03-07,3344.8999999999983
2019-03-08,3636.5000000000005
2019-03-09,3784.5
2019-03-10,3865.2000000000007
2019-03-11,3926.1000000000004
2019-03-12,3909.1000000000004
2019-03-13,3848.7
2019-03-14,3559.699999999999
2019-03-15,2709.2000000000007
2019-03-16,2704.2999999999997
2019-03-17,2799.7000000000003
2019-03-18,2825.7000000000007
2019-03-19,2917.5
2019-03-20,2890.8
2019-03-21,2956.2000000000003
2019-03-22,3193.1999999999994
2019-03-23,3209.9
2019-03-24,3196.4
2019-03-25,3144.4
2019-03-26,3172.2000000000003
2019-03-27,3153.1000000000004
2019-03-28,2954.9000000000005
2019-03-29,3557.6999999999994
2019-03-30,3592.1
2019-03-31,3630.7000000000007
2019-04-02,3646.5
2019-04-03,3702.900000000001
2019-04-04,3707.7000000000007
2019-04-05,3504.2000000000003
2019-04-06,3358.1
2019-04-07,3365.7999999999993
2019-04-08,3338.5999999999995
2019-04-09,3338.700000000001
2019-04-10,3414.5000000000005
2019-04-11,3388.899999999999
2019-04-12,3213.100000000001
2019-04-13,3794.5000000000005
2019-04-14,3909.599999999999
2019-04-15,3931.2
2019-04-16,3948.0
2019-04-17,3926.599999999999
2019-04-18,3898.7999999999997
2019-04-19,3732.5
2019-04-20,3535.1999999999994
2019-04-21,3546.2999999999993
2019-04-22,3556.2999999999997
2019-04-23,3554.7999999999993
2019-04-24,3608.1
2019-04-25,3509.5999999999995
2019-04-26,3302.2
2019-04-27,3338.4
2019-04-28,3379.599999999999
2019-04-29,3337.7999999999997
2019-04-30,3362.2999999999997
2019-05-02,3389.399999999999
2019-05-03,3362.2
2019-05-04,3268.7999999999993
2019-05-05,3484.0999999999995
2019-05-06,3446.999999999999
2019-05-07,3385.4
2019-05-08,3302.700000000001
2019-05-09,3232.2999999999997
2019-05-10,3115.1
2019-05-11,2925.999999999999
2019-05-12,3848.6000000000004
2019-05-13,3931.4
2019-05-14,3919.9999999999995
2019-05-15,3681.7999999999997
2019-05-16,3564.1999999999994
2019-05-17,3434.6000000000017
2019-05-18,3303.100000000001
2019-05-19,3595.0
2019-05-20,3640.3999999999996
2019-05-21,3741.2999999999997
2019-05-22,3854.0000000000005
2019-05-23,3884.2000000000003
2019-05-24,3853.8
2019-05-25,3713.0
2019-05-26,2959.8999999999996
2019-05-27,3050.5000000000005
2019-05-28,2929.7000000000003
2019-05-29,2738.3999999999996
2019-05-30,2615.2999999999997
2019-05-31,2555.8
2019-06-02,2592.4
2019-06-03,3067.7
2019-06-04,3103.9999999999995
2019-06-05,3079.499999999999
2019-06-06,3021.499999999999
2019-06-07,2994.2000000000003
2019-06-08,2870.9000000000005
2019-06-09,2632.7999999999993
2019-06-10,3218.7
2019-06-11,3163.4999999999995
2019-06-12,3255.6000000000004
2019-06-13,3255.699999999999
2019-06-14,3209.0000000000005
2019-06-15,3007.5999999999995
2019-06-16,2999.2000000000003
2019-06-17,3886.7
2019-06-18,3970.199999999999
2019-06-19,3970.0
2019-06-20,4011.4
2019-06-21,3862.7999999999997
2019-06-22,3837.2999999999993
2019-06-23,3755.899999999999
2019-06-24,3379.1000000000013
2019-06-25,3448.2999999999993
2019-06-26,3457.100000000001
2019-06-27,3465.2000000000007
2019-06-28,3497.6
2019-06-29,3489.3999999999996
2019-06-30,3272.300000000001
2019-07-01,3423.3
2019-07-02,3565.8999999999996
2019-07-03,3656.3000000000006
2019-07-04,3648.800000000001
2019-07-05,3692.6999999999994
2019-07-06,3614.3999999999996
2019-07-07,3464.9000000000005
2019-07-08,2828.3000000000006
2019-07-08,2830.0999999999995
2019-07-09,2757.5000000000005
2019-07-09,2866.8000000000006
2019-07-10,2886.600000000001
2019-07-10,2881.4000000000015
2019-07-11,3145.2999999999997
2019-07-11,2861.300000000001
2019-07-12,3189.2000000000003
2019-07-12,3205.7999999999997
2019-07-13,3214.2999999999997
2019-07-14,3216.3999999999987
2019-07-15,3181.9
2019-07-16,3064.2999999999997
2019-07-17,3480.5999999999995
2019-07-18,3575.000000000001
2019-07-19,3528.2000000000003
2019-07-20,3194.100000000001
2019-07-21,3334.999999999999
2019-07-22,3461.5999999999995
2019-07-23,3432.3
2019-07-24,3277.6
2019-07-25,3353.8000000000006
2019-07-26,3370.2
2019-07-27,3400.7
2019-07-28,3424.8
2019-07-29,3412.4
2019-07-30,3293.2999999999993
2019-07-31,3865.1999999999994
2019-08-01,3760.4000000000005
2019-08-02,3859.7000000000003
2019-08-03,3882.2000000000003
2019-08-04,3873.7999999999993
2019-08-05,3821.2999999999997
2019-08-06,3677.8000000000006
2019-08-08,3277.8000000000006
2019-08-09,3325.4
2019-08-10,3333.499999999999
2019-08-11,3308.1999999999994
2019-08-12,3354.5999999999995
2019-08-13,3495.9000000000005
2019-08-14,3579.9999999999995
2019-08-15,3617.500000000001
2019-08-16,3664.0000000000005
2019-08-17,3673.2
2019-08-18,3633.6000000000004
2019-08-19,3516.2999999999997
2019-08-20,3526.4
2019-08-21,3423.7999999999993
2019-08-22,3125.9
2019-08-23,3195.7999999999997
2019-08-24,3237.9
2019-08-25,3280.5
2019-08-26,3328.4999999999995
2019-08-27,3302.4999999999995
2019-08-28,3216.600000000001
2019-08-29,3729.3000000000006
2019-08-30,3674.4000000000005
2019-08-31,3577.099999999999
2019-09-01,3558.6000000000004
2019-09-02,3617.6999999999994
2019-09-03,3595.5
2019-09-04,3355.000000000001
2019-09-05,3420.2999999999997
2019-09-06,3510.8
2019-09-08,3529.5000000000005
2019-09-09,3516.600000000001
2019-09-10,3489.600000000001
2019-09-11,3420.7000000000007
2019-09-12,3682.1
2019-09-13,3669.2
2019-09-14,3731.4
2019-09-15,3803.3
2019-09-16,3822.2000000000003
2019-09-17,3790.4
2019-09-18,3671.8000000000006
2019-09-19,3705.499999999999
2019-09-20,3499.3
2019-09-21,3319.5999999999995
2019-09-22,3378.1999999999994
2019-09-23,3431.7999999999993
2019-09-24,3503.2000000000007
2019-09-25,3403.1
2019-09-26,3382.599999999999
2019-09-27,3409.399999999999
2019-09-28,3392.3000000000006
2019-09-29,3396.7000000000007
2019-09-30,3340.3000000000006
2019-10-01,3235.4999999999995
2019-10-02,3059.1000000000013
2019-10-03,3197.3
2019-10-04,3203.7000000000007
2019-10-05,3245.6000000000004
2019-10-06,3281.3
2019-10-08,3330.7999999999997
2019-10-09,3311.6999999999994
2019-10-10,3214.1
