ds,yhat,yhat_lower,yhat_upper
2020-12-06,452.50442374881504,404.56180535721745,500.8908297458061
2020-12-07,455.34165660164825,410.13707178052846,503.6137752579601
2020-12-08,456.9574813293789,406.71090787520313,502.1742035030185
2020-12-09,459.5005494044095,415.7226102993652,510.13792358179006
2020-12-10,456.2030940313178,410.5511088886943,503.2140630223138
2020-12-11,456.1043664380816,408.4456248799392,501.2986549896955
2020-12-12,451.97332313501795,403.30999018408755,498.85070829577256
2020-12-13,451.5983485087196,407.7150732611578,499.4856291388029
2020-12-14,452.84909483043685,405.194860875149,501.4691588307554
2020-12-15,452.78941677802607,405.31509292621416,500.9301706619974
2020-12-16,453.594095295651,407.0365576269967,498.12349306022196
2020-12-17,448.5264369449242,400.96431697852057,492.26232158883164
2020-12-18,446.6609858348294,402.21512976002924,491.8807735056663
2020-12-19,440.8052987721371,391.45965690425277,483.85967909932424
2020-12-20,438.788593061715,390.81112865232205,484.2158425605948
2020-12-21,438.52238023071567,389.5571409352895,486.99896962356974
2020-12-22,437.1120991975736,387.71231492090965,485.405982364958
2020-12-23,436.7724842715305,389.7492397833998,485.93679280035155
2020-12-24,430.80379759842504,385.4411656665325,481.1719153709343
2020-12-25,447.1191337227397,403.4053165152075,495.36547299636345
2020-12-26,422.13531303919996,373.97692773258615,468.6100278124366
2020-12-27,420.1196543726629,376.4792569992094,468.02887436652935
2020-12-28,420.190385987629,369.72963830964375,466.14257493045005
2020-12-29,419.4571404530502,371.491866791713,463.3278987357174
2020-12-30,420.1298632291626,370.94472998154913,466.9371367955429
2020-12-31,415.49476855106354,365.751981083379,462.964120673841
2021-01-01,414.6357166281541,365.8857661011259,462.2839461850476
2021-01-02,410.35501724365906,364.45452593548464,457.4270855174662
2021-01-03,410.46151363659004,364.47457214766285,456.16743287458905
2021-01-04,412.8310927511975,367.7835672959851,459.97435413425313
2021-01-05,414.5186552254043,370.4389339167604,462.8820401211919
2021-01-06,417.67428645736163,373.1863830077193,464.4784814394586
2021-01-07,415.52074989935136,369.56515943243807,464.5368265662717
2021-01-08,417.0765617086095,371.5891483787642,464.148280779437
2021-01-09,415.0786054247313,367.12068520458877,465.07248900154354
2021-01-10,417.2720894747298,373.296767339386,466.7436426893149
2021-01-11,421.4729392961532,372.7308743677696,469.1539564906041
2021-01-12,424.68160151897627,375.76547696004053,474.17955102946246
2021-01-13,429.0009456363611,383.043219782021,473.46496297179783
2021-01-14,427.6153301116708,379.2684291680204,475.4295495024822
2021-01-15,429.5150412230601,384.12992377919693,477.18468909316647
2021-01-16,427.42001745607456,378.0739425756922,472.1829440014271
2021-01-17,429.07062282921856,384.3038595824696,476.7166409845733
2021-01-18,432.29052927894213,387.1896260765,478.1142544154629
2021-01-19,434.10066273306245,389.4798542931815,479.35372188488594
2021-01-20,436.6368851995669,388.47382564061826,480.74832315597394
2021-01-21,433.1284770070675,387.3922627206872,485.53875389808474
2021-01-22,432.6216352666068,386.6557408256344,481.97965358401115
2021-01-23,427.901919693858,382.5582623384007,475.6204594240435
2021-01-24,426.7834377340119,381.16415253217167,474.4018623899424
2021-01-25,427.1698672627567,377.5992432689533,472.9223848103484
2021-01-26,496.81222272612854,450.51165173909493,543.4146464382259
2021-01-27,425.9947603309005,379.1863752347841,473.04726495410915
2021-01-28,419.97013965736505,373.0851445091626,468.5841110658674
2021-01-29,417.22146753009883,369.9777889225658,463.4142013300503
2021-01-30,410.61187746667235,365.3289473230165,457.3381605649838
2021-01-31,408.02551167370945,361.5076389497306,453.3466747665853
2021-02-01,407.4264015762493,362.4990287935614,454.2927065935175
2021-02-02,405.9684074426246,360.05736416154446,456.15712475984145
2021-02-03,405.90900219477135,357.01649785020675,453.94046425630546
2021-02-04,400.584075514971,351.5807376206384,446.30931604153
2021-02-05,399.12808228122526,350.7426338636681,444.23981253884597
2021-02-06,394.39356726170547,346.54171582689935,442.8735059108841
2021-02-07,394.2379486303292,347.24433835423935,439.3412457011479
2021-02-08,396.58273627064614,347.2544211046023,444.25132884306595
2021-02-09,398.5242486447918,349.21002869901344,445.1082111513412
2021-02-10,402.24859978905147,357.2339780813583,451.95070970399337
2021-02-11,401.0081068997832,355.1492847084318,453.0247376141511
2021-02-12,403.84340532864076,359.25953968741726,450.1790571985989
2021-02-13,403.5052550234161,358.34072699705814,450.07187388404896
2021-02-14,407.7438636020739,365.74848041952265,453.0477310276026
2021-02-15,414.37083665553666,370.77334222914743,459.9661413441765
2021-02-16,420.3727474166218,372.05904886863993,467.2831724782446
2021-02-17,427.8290213737703,374.50972357062096,475.6198787057803
2021-02-18,429.89120803771226,380.9812714744417,474.57783367398787
2021-02-19,435.5078483095017,387.25279570013197,480.1970844041783
2021-02-20,437.3488451846289,388.06712069826017,484.5611251963427
2021-02-21,443.0970908979108,397.8491754841243,489.77807435474386
2021-02-22,450.5123952927779,401.45679303823187,498.78997092119795
2021-02-23,456.54664991097343,412.8831851411913,504.74263702741354
2021-02-24,463.26287559423565,415.4885301756156,506.98467574961626
2021-02-25,463.8151893037733,420.4360155524822,512.8771904331694
2021-02-26,467.17387451001275,420.3851165411246,514.1723173285703
2021-02-27,466.0494519855567,416.7804771385894,516.0409695804854
2021-02-28,468.18350682276554,422.4997184387181,516.6557222249062
2021-03-01,471.4113328440085,423.91452259862615,518.7558261930519
2021-03-02,472.7753586164419,423.46275860832475,516.4076379554015
2021-03-03,474.442045205229,424.58312607187287,520.6336123866707
2021-03-04,469.6793452710177,420.82290706266514,518.4214112411777
2021-03-05,467.57897192744673,419.7328134458567,514.8160211086448
