ds,yhat,yhat_lower,yhat_upper
2020-12-06,348.40587436745403,306.591398863673,391.28010469208044
2020-12-07,352.05813925890584,312.7705114837639,395.9945343850346
2020-12-08,351.08099570888896,306.5623111244492,393.42744530403735
2020-12-09,351.293866419123,310.8035701933317,392.564881602806
2020-12-10,349.10759333741146,305.4827908890973,391.7039832004893
2020-12-11,348.1080054980232,303.82131736171584,388.8843349369166
2020-12-12,342.6468070681522,302.2784948320299,384.51354901385776
2020-12-13,341.15657499109625,298.0457202920948,383.0615839020621
2020-12-14,343.13791608913334,301.7433363189362,384.4656821348635
2020-12-15,340.49945056305194,294.95194664365755,381.82036984133174
2020-12-16,339.09136374999383,296.05324060323994,381.5618580335366
2020-12-17,335.35797847367684,295.4077122015501,377.49007652214596
2020-12-18,332.92044457801165,290.39489510034,376.56823787863647
2020-12-19,326.1666278106938,284.9341003294522,370.3843568905933
2020-12-20,323.5650166034553,280.6177676226966,367.66277960625314
2020-12-21,324.65072972470614,283.2478158249451,366.57522878014646
2020-12-22,321.36432782128446,282.41904835571495,367.0241997989601
2020-12-23,319.58420865534436,275.7600647326282,359.21678641727516
2020-12-24,315.77807699772524,271.8857588994231,355.99128625518307
2020-12-25,328.1788536529025,283.93436584321427,371.7878460246046
2020-12-26,307.4025334980817,265.50488585187486,350.4409886472657
2020-12-27,305.70367020346714,264.172235978912,349.43810162734167
2020-12-28,308.01855687367913,270.2069330317825,353.4962986808892
2020-12-29,306.2748727110573,264.0933061310234,346.9021466756631
2020-12-30,306.3297678318088,261.3178426331492,350.8579019989648
2020-12-31,304.62149718166114,264.2804596123651,345.8704074909509
2021-01-01,304.75151258502007,260.89238566073345,349.14667487135165
2021-01-02,301.074128023213,257.74182796076434,341.568343224017
2021-01-03,302.0105990290153,259.91811817718224,341.22053394989456
2021-01-04,307.03570995052854,261.7861069066722,347.6892188380313
2021-01-05,308.01757067896807,266.0970504845549,351.0852730346309
2021-01-06,310.75138875283005,269.74796090120344,354.38284356025787
2021-01-07,311.61268153961646,269.1525811927473,354.8470980598519
2021-01-08,314.1410250312783,273.3445114855971,358.7556456910044
2021-01-09,312.63140857015514,269.5532053143454,352.28466953724626
2021-01-10,315.4499884223104,273.5998153537478,355.831102177776
2021-01-11,322.02228517084853,278.46588710050804,363.8051643837729
2021-01-12,324.1744783631126,283.5110022537872,365.8723694259051
2021-01-13,327.6685182245272,284.38110767781717,368.31604882998766
2021-01-14,328.8564765035788,284.80332994823726,371.96748207655423
2021-01-15,331.265195139497,290.7879680121163,373.2308222581223
2021-01-16,329.18827022592865,285.0757478006938,371.00855226165913
2021-01-17,331.00213939906456,290.8371668343241,372.51206725177343
2021-01-18,336.1543007552412,293.23796884492066,380.29110956577915
2021-01-19,336.5043084326432,294.1092089596962,378.92721077482
2021-01-20,337.85826534716887,295.79251389194775,379.9922361551187
2021-01-21,336.62224495444036,295.3519913570564,379.98096121311676
2021-01-22,336.3857195564603,293.12136558923714,380.62892804690284
2021-01-23,331.5120600987343,292.4307150379512,374.7958018680903
2021-01-24,330.452911074042,288.4402405844706,371.71861547785926
2021-01-25,332.73451126721875,292.100845874167,376.40039860756593
2021-01-26,396.48196055614227,356.7312126466173,435.7588710726658
2021-01-27,329.02506190514606,287.36111348860294,371.4765481914328
2021-01-28,325.40266159692976,282.74801166926494,366.9846762107544
2021-01-29,323.09089976652837,277.7997412998049,363.67659541102404
2021-01-30,316.51821886958413,274.6578705895195,361.5091417644925
2021-01-31,314.192556472868,272.0020669964414,356.9013373066944
2021-02-01,315.68599192181796,275.7130097232099,356.7089831946224
2021-02-02,312.97228360145516,270.9812793325709,355.1358549140301
2021-02-03,311.95811385260726,272.7352154034403,353.3588241730767
2021-02-04,309.13356584246446,269.49294129369497,347.89447280010205
2021-02-05,308.1529955287413,265.1532547454986,348.8197617201449
2021-02-06,303.4234399755639,261.79628930992817,343.690542706301
2021-02-07,303.4174303665722,260.77421764708555,343.67225205562625
2021-02-08,307.6583316212401,265.7555962373178,348.94756413611253
2021-02-09,308.05893842159577,271.1044964436217,352.48877966576936
2021-02-10,310.4541211905021,267.446195817486,352.6964748389676
2021-02-11,311.2530131166756,267.7395046417796,353.53050798210546
2021-02-12,314.0218592939109,273.8212906818529,355.97248414990304
2021-02-13,313.07461935993285,270.43121941204197,354.5012479857463
2021-02-14,316.7881356057824,277.21432721963697,359.6321619067467
2021-02-15,324.58992707736115,281.33239315236335,369.37443812969804
2021-02-16,328.2992747307124,286.5415270693667,370.9897998063671
2021-02-17,333.6623248301103,290.7854096813394,374.2918927881336
2021-02-18,337.00663554271625,293.12201107724417,376.21745439973694
2021-02-19,341.82622369238794,298.6188651137115,383.0958448786377
2021-02-20,342.3741427733406,300.5629488230151,387.195333570328
2021-02-21,346.9793494218254,305.21889891402566,391.9375528185135
2021-02-22,355.0358711565647,315.97709615159505,399.9479968005577
2021-02-23,358.34490116752636,316.7259846017427,402.3663541979132
2021-02-24,362.65051762611347,320.30267577961143,405.9913692507455
2021-02-25,364.29443320564155,323.28153536122437,404.03515684094714
2021-02-26,366.8008235548623,326.5716869831342,411.8386008318677
2021-02-27,364.4682689452388,320.76660708461054,408.2569717187823
2021-02-28,365.6855807291267,322.8952425940759,407.7707080091446
2021-03-01,369.9195508442086,325.0728432403345,413.1645994203894
2021-03-02,369.05528591083925,325.2780512394318,415.57265068726286
2021-03-03,368.9298685757979,324.3121486409933,407.4713785933148
2021-03-04,365.98480518610165,322.7521661025925,406.0146208889412
2021-03-05,363.8483687156289,320.9648843252648,403.6932201749151
