ds,yhat,yhat_lower,yhat_upper
2020-12-06,334.154672019321,300.25848365008267,370.50888657619373
2020-12-07,335.95286239005077,303.036312289895,372.0682806850182
2020-12-08,332.3675439773807,295.154154912464,367.4261086955636
2020-12-09,330.34337595934124,294.77946291686976,365.2547878302402
2020-12-10,329.5577589420127,291.79750828119927,364.9118345980267
2020-12-11,329.1172505810736,295.0694089852985,364.6402145642376
2020-12-12,320.6134878436509,286.7050631783157,355.78116044804545
2020-12-13,320.9518534209444,284.13291890209416,358.4551188801136
2020-12-14,322.12224947868157,285.5379616451951,358.6971351214103
2020-12-15,317.9980510851226,281.43543986302404,357.64351167908524
2020-12-16,315.53530633067544,280.3931160854665,351.4956385218735
2020-12-17,314.42511309760073,276.7590584032121,351.92948917396717
2020-12-18,313.7896373569104,279.43402494890756,348.1063097520544
2020-12-19,305.2374883697107,270.8733692078621,340.7573255225196
2020-12-20,305.6917049404061,268.753878703097,340.78297054422114
2020-12-21,307.1597383261038,268.44050642367995,340.778230433403
2020-12-22,303.53153165081966,269.8872254914189,342.21117742381085
2020-12-23,301.7777945614124,264.830456342627,336.4851627709121
2020-12-24,301.6014379813428,268.57148357262577,338.136772448438
2020-12-25,304.7607797678578,267.7753802633864,338.98449387324973
2020-12-26,294.9835111154031,259.3270442007917,332.6965818530059
2020-12-27,297.07500446540394,260.55921774828204,332.4513192654441
2020-12-28,300.40656781005185,267.19587668955734,338.701788503014
2020-12-29,298.8535931334758,264.7854876527849,333.03787094367306
2020-12-30,299.36543579568587,263.3172499030385,335.1118576352752
2020-12-31,301.6167750185118,265.8760138669424,339.3821389561471
2021-01-01,304.7028639371456,269.29953821432093,339.48001129580456
2021-01-02,300.1944307910146,260.8639323173758,337.6073113401469
2021-01-03,304.9655233485994,268.30590209957217,341.5879864104184
2021-01-04,310.96371026016067,277.1511087509094,345.5271114860344
2021-01-05,312.00875610354626,277.1245121952362,347.4303169986774
2021-01-06,314.9918736255414,282.1505254264128,350.26367435370474
2021-01-07,319.5285100476814,282.8866206717715,353.6473566160216
2021-01-08,324.6551482817084,289.40377977448196,357.6509058572238
2021-01-09,321.8858424179741,285.9712065396795,359.47750382607
2021-01-10,328.0417329732978,287.22366088412946,364.38195182799194
2021-01-11,335.02290592761267,297.4785618898023,368.9759654048246
2021-01-12,336.60866106309373,300.3303748279354,371.8378291418106
2021-01-13,339.6582418329904,305.4848413983845,376.0879862070431
2021-01-14,343.7649339274657,308.32181206759407,378.6645654232962
2021-01-15,347.95396685013463,311.1037893599399,383.88750922471417
2021-01-16,343.7398960417278,309.9682696412833,378.8246808197255
2021-01-17,347.95667534470823,312.1090290132882,385.1681792519307
2021-01-18,352.529755557511,320.07965664341185,393.2654887524648
2021-01-19,351.27625480442794,313.87496859837654,387.41223364874554
2021-01-20,351.10524250365006,312.013440319083,389.3036733284371
2021-01-21,351.67104358591314,318.740982173532,389.58645867916096
2021-01-22,352.07000699211795,316.326205052215,387.29839790991923
2021-01-23,343.8964359294681,308.15397753589264,378.631624673459
2021-01-24,344.0709195437869,308.42957435996584,378.40976872481434
2021-01-25,344.6104409270993,310.31206893312367,379.06060649977053
2021-01-26,363.2311536994646,326.8202914578502,398.60474534114275
2021-01-27,335.52233118145716,300.3694777465141,371.97836744607264
2021-01-28,332.64523312608713,297.72942715009344,366.25066636615605
2021-01-29,329.97943600915687,295.7533099249073,364.4749903384667
2021-01-30,319.2003544174437,283.0093890976425,354.4504279456204
2021-01-31,317.30048324164676,279.3551735908581,351.9397889780149
2021-02-01,316.3573944983244,281.481023205142,349.9358814413622
2021-02-02,310.3298461260005,274.86316889333017,346.477642683662
2021-02-03,306.2541570817471,270.76726494056237,342.6562672646228
2021-02-04,303.8938667399991,267.5624662877005,341.3829241072232
2021-02-05,302.43322955291535,265.8673636155028,338.62109970976013
2021-02-06,293.53034180529306,257.68696713035337,330.9871207681687
2021-02-07,294.1432288862238,258.18636077077844,331.7126939742439
2021-02-08,296.29834340919774,260.72653472758213,331.1086329754857
2021-02-09,293.8876271007197,256.86866266837967,329.5226383896912
2021-02-10,293.86627483900514,257.75782701747613,330.7082691564393
2021-02-11,295.90419052093233,258.50738366500434,331.0583566626124
2021-02-12,299.08164558293385,261.8447577505108,333.5783292382836
2021-02-13,294.9448859739405,258.07625401767274,331.2627312531344
2021-02-14,300.3349553021073,267.08062801095326,335.1704148433282
2021-02-15,307.1591156502904,269.09268076374826,340.79949995974863
2021-02-16,309.19094379173237,271.45754608057376,346.2059080308427
2021-02-17,313.2711616376018,279.16145596875504,348.508991518579
2021-02-18,318.96210882742827,282.99721741693327,356.1143554568676
2021-02-19,325.2462865427325,289.45493976405004,360.17462923600897
2021-02-20,323.58463888623805,287.7048854040253,358.408294477148
2021-02-21,330.7477646215782,295.1450833080182,367.7990796981435
2021-02-22,338.5893725077119,305.1447658375011,373.09050428839106
2021-02-23,340.8479983502174,306.86743681110687,376.17588526273687
2021-02-24,344.3489934036832,310.00906575141966,377.4392327511216
2021-02-25,348.6596547508674,311.20288106619296,384.1299917638178
2021-02-26,352.78790254244046,320.17475173163297,389.58730393955284
2021-02-27,348.24016016482653,312.09923463857206,381.57617049695904
2021-02-28,351.85163422506105,317.99186968172216,386.4163508479253
2021-03-01,355.5583261079611,324.9372579477475,392.92838536234376
2021-03-02,353.19682582559625,317.55966729232716,386.20801799345696
2021-03-03,351.7039437294428,315.30268301263726,383.7615086330284
2021-03-04,350.76910886151916,314.82766204215324,387.8523226264223
2021-03-05,349.5300077237081,313.0191767304613,386.98770843534817
